Brand	Mold	Type	Speed	Glide	Turn	Fade	In Prod.	Date Approved	Max Weight (gr)	Diameter (cm)	Height (cm)	Rim Depth (cm)	Inside Rim Diameter (cm)	Rim Thickness (cm)	Rim Depth / Diameter Ratio (%)	Rim Configuration	Flexibility (kg)	Certification Number
Discraft	Putt'r	Putter	2.0	3.0	-2.0	1.0	Yes	2002-03-16	174.3	21.0	2.4	1.6	19.2	0.9	7.6	78.75	8.28	02-03
Discraft	Rattler Putter	Putter	2.0	3.0	-1.0	1.0	Yes	1994-08-25	176.0	21.2	2.2	1.6	20.0	0.6	7.5	84.25	4.99	94-08
Discraft	Ringer	Putter	3.0	4.0	0.0	2.0	Yes	2009-06-17	174.3	21.0	1.8	1.2	19.2	0.9	5.7	67.75	6.12	09-16
Discraft	Ringer GT	Putter	3.0	3.0	0.0	3.0	Yes	2017-04-21	175.1	21.1	1.7	1.1	19.0	1.0	5.2	63.25	4.65	17-70
Discraft	Roach (Ace Race 2015)	Putter	2.0	4.0	0.0	1.0	Yes	2015-11-30	175.1	21.1	2.0	1.5	18.9	1.1	7.1	58.75	9.07	15-79
Discraft	Stratus	Midrange	5.0	5.0	-3.0	1.0	Yes	1997-04-12	177.6	21.4	1.8	1.2	19.0	1.2	5.6	36.25	6.58	97-04
Discraft	Sting (Ace Race 2017)	Fairway	7.0	5.0	-2.0	1.0	Yes	2017-11-07	177.6	21.4	1.8	1.2	18.2	1.6	5.6	36.25	10.66	17-119
Discraft	Surge	Distance	11.0	5.0	-1.0	3.0	Yes	2006-02-08	175.1	21.1	1.6	1.2	17.1	2.0	5.7	30.25	10.55	06-02
Discraft	Surge-SS	Distance	11.0	5.0	-1.0	2.0	Yes	2008-02-21	175.1	21.1	1.6	1.2	16.8	2.1	5.7	29.25	7.48	08-05
Discraft	Thrasher	Distance	12.0	5.0	-3.0	2.0	Yes	2016-08-13	175.1	21.1	1.7	1.1	16.8	2.1	5.2	26.75	8.85	16-62
Discraft	Undertaker	Fairway	9.0	5.0	-1.0	2.0	Yes	2016-04-06	175.1	21.1	1.8	1.1	17.5	1.9	5.2	30.75	10.43	16-31
Discraft	Vulture	Distance	10.0	5.0	0.0	2.0	Yes	2018-02-26	177.6	21.4	1.6	1.2	17.8	1.8	5.6	33.5	10.89	18-97
Discraft	Wasp	Midrange	5.0	5.0	0.0	3.0	Yes	2002-09-29	179.3	21.6	1.8	1.3	19.2	1.2	6.0	37.0	8.39	02-13
Discraft	XL	Fairway	8.0	5.0	-1.0	2.0	Yes	1998-04-03	175.1	21.1	2.1	1.2	17.7	1.7	5.7	32.25	8.5	98-04
Discraft	Xpress	Fairway	8.0	5.0	-3.0	1.0	Yes	2000-12-05	175.1	21.1	1.8	1.2	17.6	1.7	5.7	28.0	9.64	00-15
Discraft	XS	Fairway	8.0	5.0	-2.0	3.0	Yes	2000-09-04	175.1	21.1	1.8	1.2	17.6	1.8	5.7	27.5	8.51	00-12
Discraft	Zone	Midrange	4.0	3.0	0.0	3.0	Yes	2008-05-28	175.1	21.1	2.0	1.3	18.8	1.2	6.2	46.0	10.55	08-18
Discraft	Zombee (Ace Race 2012)	Midrange	6.0	4.0	-1.0	1.0	Yes	2012-11-13	179.3	21.6	2.1	1.2	18.4	1.6	5.6	34.75	10.77	12-50
Dynamic Discs	Breakout	Fairway	8.0	5.0	-1.0	1.5	Yes	2015-03-27	174.3	21.0	1.6	1.1	17.2	1.9	5.2	32.75	8.62	15-30
Dynamic Discs	Captain	Distance	13.0	5.0	-2.0	2.0	Yes	2017-12-04	175.1	21.1	1.6	1.1	16.6	2.3	5.2	30.0	11.23	17-121
Dynamic Discs	Convict	Fairway	9.0	4.0	-0.5	3.0	Yes	2015-03-27	176.0	21.2	1.4	1.1	17.2	2.0	5.2	34.75	8.85	15-31
Dynamic Discs	Criminal	Fairway	10.0	3.0	1.0	4.0	Yes	2017-01-17	176.0	21.2	1.5	1.2	16.9	2.1	5.7	29.0	12.25	17-05
Dynamic Discs	Defender	Distance	13.0	5.0	0.0	3.0	Yes	2016-03-02	174.3	21.0	1.6	1.1	16.4	2.3	5.2	30.75	11.11	16-22
Dynamic Discs	Deputy	Putter	3.0	4.0	-1.5	0.0	Yes	2017-02-22	176.0	21.2	2.0	1.5	19.1	1.1	7.1	61.0	6.92	17-15
Dynamic Discs	EMAC Truth	Midrange	5.0	5.0	0.0	2.0	Yes	2016-03-21	180.1	21.7	1.8	1.2	18.7	1.5	5.5	42.25	9.3	16-25
Dynamic Discs	Enforcer	Distance	12.0	4.0	0.5	4.0	Yes	2014-04-07	175.1	21.1	1.8	1.1	16.7	2.2	5.2	27.0	11.0	14-34
Dynamic Discs	Escape	Fairway	9.0	5.0	1.0	2.0	Yes	2012-12-07	175.1	21.1	2.0	1.1	17.1	2.0	5.2	27.75	10.32	12-56
Dynamic Discs	Evidence	Midrange	5.0	5.0	-1.0	0.0	Yes	2015-03-27	180.1	21.7	1.8	1.2	18.7	1.4	5.5	41.25	7.26	15-32
Dynamic Discs	Felon	Fairway	9.0	3.0	0.5	4.0	Yes	2014-07-14	176.0	21.2	1.8	1.1	17.2	2.0	5.2	31.5	9.3	14-56
Dynamic Discs	Freedom	Distance	14.0	5.0	-3.0	3.0	Yes	2014-07-14	176.0	21.2	1.6	1.1	16.3	2.4	5.2	27.25	8.73	14-57
Dynamic Discs	Gavel	Putter	3.0	5.0	-2.0	0.5	Yes	2016-05-26	176.8	21.3	1.9	1.4	19.5	1.4	6.6	45.75	9.19	16-50
Dynamic Discs	Getaway	Fairway	9.0	5.0	-0.5	3.0	Yes	2017-12-04	175.1	21.1	1.8	1.1	17.1	2.0	5.2	28.75	11.0	17-122
Dynamic Discs	Guard	Putter	2.0	5.0	0.0	0.5	Yes	2018-11-04	174.3	21.0	2.1	1.6	19.1	0.9	7.6	90.0	7.84	18-76
Dynamic Discs	Judge	Putter	2.0	4.0	0.0	1.0	Yes	2012-12-07	176.0	21.2	2.0	1.5	18.9	1.1	7.1	58.25	4.2	12-58
Dynamic Discs	Justice	Midrange	5.0	1.0	0.5	4.0	Yes	2015-03-27	176.8	21.3	1.7	1.3	18.3	1.5	6.1	39.5	8.96	15-33
Dynamic Discs	Marshal	Putter	3.0	4.0	0.0	1.0	Yes	2016-03-02	176.0	21.2	2.0	1.6	19.1	1.1	7.5	67.0	11.57	16-23
Dynamic Discs	Maverick	Fairway	7.0	4.0	-1.5	2.0	Yes	2017-12-04	176.0	21.2	1.8	1.1	17.8	1.7	5.2	35.0	9.53	17-123
Dynamic Discs	Patrol	Midrange	5.0	5.0	-3.0	1.0	Yes	2017-12-04	180.1	21.7	1.6	1.2	18.8	1.4	5.5	44.0	8.85	17-124
Dynamic Discs	Proof	Midrange	5.0	5.0	-3.0	1.0	Yes	2016-05-26	178.5	21.5	1.5	1.1	19.0	1.3	5.1	39.5	9.4	16-51
Dynamic Discs	Renegade	Distance	11.0	5.0	-1.5	2.5	Yes	2013-04-04	176.0	21.2	1.7	1.1	17.0	2.1	5.2	28.0	8.96	13-28
Dynamic Discs	Sheriff	Distance	13.0	5.0	-1.0	2.0	Yes	2016-12-29	175.1	21.1	1.6	1.1	16.3	2.4	5.2	30.25	11.79	16-84
Dynamic Discs	Slammer	Putter	3.0	2.0	0.0	3.0	Yes	2017-01-28	176.0	21.2	1.8	1.4	19.2	1.0	6.6	53.5	8.39	17-12
Dynamic Discs	Suspect	Midrange	4.0	3.0	0.0	3.0	Yes	2013-03-10	176.8	21.3	1.6	1.2	18.9	1.2	5.6	47.5	7.6	13-26
Dynamic Discs	Thief	Fairway	8.0	5.0	-1.5	2.0	Yes	2014-03-22	176.0	21.2	1.8	1.1	17.3	1.9	5.2	34.25	9.19	14-21
Dynamic Discs	Trespass	Distance	12.0	5.0	-0.5	3.0	Yes	2012-12-07	175.1	21.1	1.9	1.1	16.7	2.1	5.2	26.25	10.32	12-59
Dynamic Discs	Truth	Midrange	5.0	5.0	-1.0	1.0	Yes	2013-06-18	180.1	21.7	1.7	1.2	18.7	1.5	5.5	41.5	8.05	13-39
Dynamic Discs	Vandal	Fairway	9.0	5.0	-1.5	2.0	Coming Soon	2018-11-04	176.0	21.2	1.7	1.1	17.4	1.9	5.2	36.25	8.39	18-77
Dynamic Discs	Verdict	Midrange	5.0	4.0	0.0	3.5	Yes	2013-05-30	180.1	21.7	1.7	1.2	18.7	1.5	5.5	43.25	7.71	13-34
Dynamic Discs	Warden	Putter	2.0	4.0	0.0	0.5	Yes	2013-10-14	176.0	21.2	2.0	1.5	19.1	1.1	7.1	66.25	4.65	13-64
Dynamic Discs	Warrant	Midrange	5.0	5.0	-2.0	0.0	Yes	2015-12-15	180.1	21.7	1.8	1.3	18.8	1.4	6.0	46.5	9.87	15-86
Dynamic Discs	Witness	Fairway	8.0	6.0	-3.0	1.0	Yes	2014-02-17	175.1	21.1	1.8	1.1	17.3	1.9	5.2	32.25	8.85	14-10
Element Discs	Chromium	Fairway	9.0	5.0	-1.0	1.0	Yes	2016-10-21	175.1	21.1	2.0	1.2	17.2	2.0	5.7	31.25	9.75	16-69
Element Discs	Iridium	Putter	2.0	3.0	0.0	2.0	Yes	2015-12-09	174.3	21.0	2.1	1.5	19.1	0.9	7.1	66.0	12.02	15-85
Element Discs	Lithium	Midrange	5.0	4.0	-2.0	1.0	Yes	2016-06-30	181.8	21.9	1.5	1.3	18.9	1.5	5.9	51.75	10.43	16-59
Element Discs	Plutonium	Putter	3.0	3.0	0.0	1.0	Yes	2016-02-25	174.3	21.0	2.0	1.5	19.0	1.0	7.1	77.75	7.0	16-15
Element Discs	Radium	Midrange	6.0	4.0	-1.0	2.0	Yes	2016-10-21	181.8	21.9	2.0	1.1	18.9	1.5	5.3	43.25	10.21	16-70
Element Discs	Uranium	Midrange	4.0	2.0	0.0	2.0	Yes	2016-08-13	176.0	21.2	1.5	1.4	18.7	1.3	6.6	49.5	7.71	16-65
Fly High Discs	AK-47	Putter	3.0	4.0	0.0	1.0	Yes	2015-02-06	174.3	21.0	2.2	1.5	19.0	1.0	7.1	59.25	7.48	15-05
Fly High Discs	Diesel	Distance	11.0	5.0	0.0	3.0	Yes	2015-02-06	177.6	21.4	1.6	1.1	16.9	2.2	5.1	33.25	11.57	15-06
Fly High Discs	Jack the Ripper	Fairway	9.0	5.0	0.0	1.0	Yes	2015-02-06	174.3	21.0	1.7	1.1	17.1	1.9	5.2	33.5	10.66	15-07
Fly High Discs	KGB	Midrange	5.0	5.0	-1.0	1.0	Yes	2015-02-06	180.9	21.8	1.9	1.1	19.0	1.4	5.0	38.5	10.55	15-08
Fly High Discs	Pure O.G.	Midrange	6.0	4.0	-1.0	2.0	Yes	2015-04-10	180.9	21.8	1.9	1.1	18.8	1.5	5.0	37.75	7.82	15-38
Fly High Discs	Train Wreck	Distance	13.0	5.0	-2.0	2.0	Yes	2015-02-06	174.3	21.0	1.8	1.2	16.4	2.3	5.7	33.25	11.91	15-09
Fly High Discs	White Widow	Putter	3.0	4.0	-1.0	0.0	Yes	2015-02-06	174.3	21.0	2.1	1.5	19.0	1.0	7.1	75.5	5.9	15-10
Full Turn Discs	Cruise	Distance	13.0	4.0	-2.0	3.0	Yes	2017-06-26	175.1	21.1	1.6	1.1	16.4	2.3	5.2	26.5	8.85	17-82
Full Turn Discs	Drifter	Fairway	9.0	4.0	-1.0	2.0	Yes	2017-03-08	175.1	21.1	1.7	1.2	17.3	1.9	5.7	27.0	9.19	17-21
Full Turn Discs	Navigator	Midrange	5.0	4.0	-1.0	2.0	Yes	2016-08-13	179.3	21.6	1.7	1.5	18.9	1.4	6.9	40.5	6.8	16-63
Full Turn Discs	Passport	Putter	4.0	4.0	-1.0	1.0	Yes	2016-08-13	176.0	21.2	2.1	1.6	19.2	1.0	7.5	64.0	8.16	16-64
Full Turn Discs	Traveler	Fairway	9.0	4.0	0.0	2.0	Yes	2016-04-21	175.1	21.1	1.7	1.2	17.3	1.9	5.7	28.75	9.53	16-38
Full Turn Discs	Voyage	Distance	12.0	5.0	0.0	3.0	Yes	2017-09-24	175.1	21.1	1.8	1.1	16.4	2.3	5.2	26.25	8.85	17-105
Galaxy Disc Golf	Magneton	Putter	2.0	3.0	0.0	2.0	Yes	2017-01-28	175.1	21.1	1.9	1.5	19.1	1.0	7.1	59.25	8.28	17-08
Galaxy Disc Golf	Meteorite	Distance	11.0	6.0	-5.0	1.0	Yes	2017-03-08	175.1	21.1	1.8	1.1	16.8	2.1	5.2	26.0	8.62	17-22
Galaxy Disc Golf	Orbit	Midrange	5.0	4.0	0.0	3.0	Yes	2017-01-28	176.0	21.2	2.1	1.3	19.2	1.0	6.1	60.0	8.62	17-09
Galaxy Disc Golf	Satellite	Putter	3.0	4.0	0.0	1.0	Yes	2017-01-28	176.8	21.3	2.1	1.7	19.7	0.8	8.0	95.25	6.8	17-10
Galaxy Disc Golf	Shooting Star	Fairway	7.0	5.0	-2.0	1.0	Yes	2017-01-28	174.3	21.0	1.8	1.2	17.4	1.8	5.7	26.25	6.69	17-11
Gateway Disc Sports	Apache (retooled)	Fairway	9.0	6.0	-1.0	2.0	Yes	2009-04-16	176.8	21.3	1.8	1.2	17.4	1.9	5.6	28.5	4.76	09-15
Gateway Disc Sports	Apex	Distance	12.0	6.0	-1.0	2.0	Yes	2018-06-21	178.5	21.5	1.9	1.1	17.1	2.3	5.1	30.25	9.75	18-49
Gateway Disc Sports	Assassin	Fairway	9.0	6.0	-1.0	1.0	Yes	2008-01-04	174.3	21.0	1.9	1.1	17.2	1.9	5.2	34.5	10.77	08-02
Gateway Disc Sports	Assassin (retooled)	Fairway	9.0	6.0	-1.0	1.0	Yes	2014-05-19	174.3	21.0	1.9	1.1	17.1	1.9	5.2	34.5	8.62	14-49
Gateway Disc Sports	Blaze	Midrange	6.0	4.0	0.0	3.0	Yes	1999-10-20	175.1	21.1	1.9	1.2	17.7	1.7	5.7	30.25	10.77	99-11
Gateway Disc Sports	Chief	Putter	3.0	3.0	0.0	1.0	Yes	2003-01-11	174.3	21.0	2.1	1.5	19.0	1.0	7.1	60.5	9.53	03-02
Gateway Disc Sports	Chief (retooled)	Putter	3.0	3.0	0.0	1.0	Yes	2014-05-19	174.3	21.1	1.7	1.3	19.2	1.0	6.2	60.5	3.63	14-50
Gateway Disc Sports	Chief OS	Putter	3.0	3.0	0.0	2.0	Yes	2015-02-06	176.0	21.2	2.1	1.3	19.2	1.0	6.1	55.75	6.19	15-13
Gateway Disc Sports	Demon	Midrange	6.0	3.0	0.0	4.0	Yes	2000-09-05	175.1	21.1	1.9	1.2	17.7	1.7	5.7	30.25	11.11	00-11
Gateway Disc Sports	Devilhawk	Putter	3.0	3.0	0.0	2.0	Yes	2015-02-06	176.0	21.2	2.1	1.3	19.2	1.0	6.1	70.25	7.14	15-14
Gateway Disc Sports	Diablo	Fairway	9.0	5.0	0.0	2.0	Yes	2017-04-21	176.0	21.2	1.7	1.2	17.1	2.0	5.7	32.5	9.3	17-57
Gateway Disc Sports	Diablo DT	Distance	11.0	5.0	-1.0	2.0	Yes	2007-03-29	179.3	21.6	1.3	1.1	17.2	2.2	5.1	26.75	9.64	07-22
Gateway Disc Sports	Element	Midrange	5.0	5.0	-1.0	1.0	Yes	2004-10-07	183.4	22.1	1.7	1.3	19.6	1.3	5.9	39.5	6.35	04-12
Gateway Disc Sports	Element X	Midrange	5.0	5.0	-1.0	1.0	Yes	2004-12-01	181.8	21.9	1.9	1.2	19.3	1.8	5.5	42.5	9.98	04-14
Gateway Disc Sports	Illusion	Distance 	12.0	5.0	-1.0	2.0	Yes	2004-05-27	177.6	21.4	1.5	1.1	17.2	2.1	5.1	32.75	10.77	04-06
Gateway Disc Sports	Journey - LS	Distance 	12.0	6.0	-2.0	1.0	Yes	2017-04-21	176.0	21.2	1.9	1.1	16.9	2.2	5.2	28.25	9.75	17-61
Gateway Disc Sports	Magic	Putter	2.0	3.0	-1.0	0.0	Yes	2008-01-04	174.3	21.0	2.1	1.5	19.0	1.0	7.1	54.0	4.54	08-01
Gateway Disc Sports	Mystic	Midrange	5.0	5.0	-2.0	0.0	Yes	2012-03-18	180.9	21.8	1.9	1.1	18.8	1.5	5.0	49.75	12.02	12-64
Gateway Disc Sports	Mystic (retooled)	Midrange	5.0	5.0	-2.0	0.0	Yes	2013-05-14	182.6	22.0	2.0	1.1	19.0	1.5	5.0	49.75	11.34	13-32
Gateway Disc Sports	Ninja	Distance	11.0	5.0	0.0	2.0	Yes	2017-04-21	176.0	21.2	1.9	1.2	17.2	2.0	5.7	31.75	8.73	17-58
Gateway Disc Sports	Prophecy	Midrange	5.0	5.0	0.0	2.0	Yes	2018-01-19	181.8	21.9	1.7	1.2	19.0	1.5	5.5	38.5	6.12	18-01
Gateway Disc Sports	Sabre	Fairway	7.0	5.0	-1.0	1.0	Yes	1999-10-20	176.0	21.2	1.8	1.2	17.8	1.7	5.7	27.0	10.77	99-09
Gateway Disc Sports	Samurai	Distance	13.0	6.0	-2.0	1.0	Yes	2012-04-22	175.1	21.1	1.8	1.2	16.5	2.3	5.7	29.25	11.57	12-19
Gateway Disc Sports	Shaman	Putter	3.0	3.0	-1.0	1.0	Yes	2014-06-09	176.0	21.2	1.8	1.3	19.2	1.0	6.1	65.75	8.39	14-53
Gateway Disc Sports	Siren	Distance	13.0	5.0	-2.0	1.0	Yes	2017-04-21	175.1	21.1	1.8	1.2	16.4	2.3	5.7	29.25	11.57	17-62
Gateway Disc Sports	Slayer	Distance	13.0	5.0	-1.0	2.0	Yes	2011-06-23	174.3	21.0	1.7	1.2	16.4	2.3	5.7	30.0	9.75	11-18
Gateway Disc Sports	Slayer (retooled)	Distance	13.0	5.0	-1.0	2.0	Yes	2018-06-21	175.1	21.1	1.5	1.2	16.4	2.3	5.7	30.0	9.3	18-50
Gateway Disc Sports	Speed Demon	Distance	12.0	4.0	0.0	3.0	Yes	2003-01-11	177.6	21.4	1.8	1.1	17.0	2.2	5.1	27.0	10.89	03-01
Gateway Disc Sports	Speed Demon DT	Distance	12.0	4.0	0.0	3.0	Yes	2006-08-17	176.8	21.3	1.8	1.1	17.0	2.2	5.2	26.0	12.02	06-33
Gateway Disc Sports	Spirit	Distance	12.0	4.0	0.0	4.0	Yes	2004-01-25	176.0	21.2	1.8	1.1	17.0	2.1	5.2	26.0	12.25	04-02
Gateway Disc Sports	Voodoo	Putter	2.0	3.0	0.0	2.0	Yes	2009-03-31	175.1	21.1	2.1	1.6	19.1	1.0	7.6	62.0	3.52	09-10
Gateway Disc Sports	Voodoo (revised)	Putter	2.0	3.0	0.0	2.0	Yes	2016-12-30	176.0	21.2	2.1	1.6	19.2	1.0	7.5	62.0	9.41	16-90
Gateway Disc Sports	Warlock	Putter	2.0	3.0	0.0	1.0	Yes	2007-03-08	175.1	21.1	2.3	1.6	19.1	1.0	7.6	56.25	6.46	07-16
Gateway Disc Sports	Warrior (new)	Midrange	5.0	4.0	0.0	3.0	Yes	2010-04-09	182.6	22.0	1.9	1.2	19.3	1.4	5.5	42.5	4.76	10-09
Gateway Disc Sports	Warspear	Putter	2.0	3.0	0.0	2.5	Yes	2015-02-06	176.0	21.2	1.8	1.3	19.2	1.0	6.1	77.75	6.92	15-15
Gateway Disc Sports	Wizard	Putter	2.0	3.0	0.0	2.0	Yes	2002-01-09	174.3	21.0	2.1	1.8	19.0	1.0	8.6	59.25	10.43	02-01
Gateway Disc Sports	Wizard (revised)	Putter	2.0	3.0	0.0	2.0	Yes	2016-12-30	176.0	21.2	2.1	1.8	19.2	1.0	8.5	59.25	9.87	16-91
Guru Disc Golf	Fenris	Distance	13.0	5.0	-1.0	2.0	Yes	2018-05-31	176.0	21.2	1.7	1.1	16.2	2.5	5.2	26.0	10.66	18-46
Guru Disc Golf	Midgard	Midrange	6.0	5.0	-1.0	1.0	Yes	2016-02-04	175.1	21.1	1.7	1.1	17.5	1.8	5.2	32.5	11.45	16-10
Guru Disc Golf	Mjølner	Putter	2.0	3.0	0.0	1.0	Yes	2016-02-04	176.0	21.2	2.0	1.5	19.2	1.0	7.1	47.25	9.53	16-11
Guru Disc Golf	Sleipner	Distance	10.0	4.0	-1.0	2.0	Yes	2017-03-15	176.0	21.2	1.5	1.1	17.0	2.1	5.2	28.75	11.11	17-29
Guru Disc Golf	Thor	Midrange	4.0	4.0	0.0	2.0	Yes	2016-02-04	180.1	21.7	2.1	1.3	19.1	1.3	6.0	40.25	9.53	16-12
Infinite Discs	Chariot	Midrange	5.0	5.0	0.0	1.0	Yes	2018-02-26	180.9	21.8	1.7	1.4	19.0	1.4	6.4	51.5	9.07	18-32
Infinite Discs	Exodus	Fairway	7.0	5.0	-0.5	2.0	Yes	2018-01-19	175.1	21.1	1.8	1.1	17.5	1.8	5.2	36.25	8.73	18-03
Infinite Discs	Myth	Putter	2.0	3.0	0.0	2.0	Yes	2018-03-29	176.0	21.2	2.1	1.5	19.0	1.1	7.1	68.75	9.07	18-29
Infinite Discs	Pharaoh	Distance	13.0	6.0	-1.0	2.0	Yes	2018-02-02	175.1	21.1	1.4	1.1	16.4	2.3	5.2	28.5	11.11	18-33
Infinite Discs	Ra	Midrange	5.0	4.0	0.0	3.0	Yes	2018-11-02	180.1	21.7	1.8	1.4	18.8	1.4	6.5	50.25	7.71	18-73
Infinite Discs	Slab	Distance	12.0	3.0	0.0	4.0	Yes	2018-06-21	176.0	21.2	1.6	1.2	16.6	2.3	5.7	29.0	9.3	18-52
Infinite Discs	Sphinx	Fairway	9.0	6.0	-3.0	1.0	Yes	2018-03-29	175.1	21.1	1.6	1.1	17.3	1.9	5.2	30.75	11.79	18-30
Infinite Discs	Tomb	Putter	3.0	4.0	0.0	1.0	Yes	2018-03-29	176.8	21.3	1.6	1.3	19.1	1.1	6.1	65.5	7.6	18-31
Innova-Champion Discs	Ape	Distance	13.0	5.0	0.0	4.0	Yes	2011-02-18	175.1	21.1	1.5	1.2	16.2	2.4	5.7	27.75	12.13	11-04
Innova-Champion Discs	Archangel	Fairway	8.0	6.0	-4.0	1.0	Yes	2001-08-21	175.1	21.1	1.9	1.4	17.3	1.8	7.1	31.25	9.19	01-06
Innova-Champion Discs	Archon	Distance	11.0	5.0	-2.0	2.0	Yes	2011-03-09	175.1	21.1	1.7	1.2	16.6	2.3	5.7	28.25	11.45	11-11
Innova-Champion Discs	Atlas	Midrange	5.0	4.0	0.0	1.0	Yes	2013-06-18	180.9	21.8	1.7	1.4	19.1	1.4	6.4	46.25	4.42	13-40
Innova-Champion Discs	Aviar	Putter	2.0	3.0	0.0	1.0	Yes	1984-01-01	176.0	21.2	2.0	1.5	19.4	0.9	7.1	55.75	11.34	84-01
Innova-Champion Discs	AviarX3	Putter	3.0	2.0	0.0	3.0	Yes	2017-09-26	176.8	21.3	1.8	1.6	19.3	1.0	7.5	55.75	7.14	17-108
Innova-Champion Discs	Aviar 3	Putter	3.0	2.0	0.0	2.0	Yes	2017-02-08	176.0	21.2	1.9	1.5	19.2	1.0	7.1	55.75	9.53	17-14
Innova-Champion Discs	Aviar XD	Putter	3.0	4.0	-1.0	1.0	Yes	1984-01-01	176.0	21.2	2.1	1.1	19.4	0.9	5.2	52.5	9.1	84-08
Innova-Champion Discs	Aviar XD (retooled)	Putter	3.0	4.0	-1.0	1.0	Yes	1990-01-01	176.0	21.2	2.0	1.2	19.4	0.9	5.7	42.75	8.96	90-09
Innova-Champion Discs	Banshee	Fairway	7.0	3.0	0.0	3.0	Yes	1998-01-14	176.0	21.2	1.5	1.2	17.6	1.8	5.7	29.25	6.58	98-01
Innova-Champion Discs	Beast	Distance	10.0	5.0	-2.0	2.0	Yes	2002-12-02	176.0	21.2	1.4	1.1	17.1	2.0	5.2	26.76	8.96	02-11
Innova-Champion Discs	Birdie	Putter	1.0	2.0	0.0	0.0	Yes	1991-05-13	175.1	21.1	2.3	1.9	19.7	0.7	9.0	98.25	11.8	91-03
Innova-Champion Discs	Birdie (retooled)	Putter	1.0	2.0	0.0	0.0	Yes	1991-05-13	176.0	21.2	2.4	1.9	19.8	0.7	9.0	98.25	11.8	91-10
Innova-Champion Discs	Boss	Distance	13.0	5.0	-1.0	3.0	Yes	2008-08-26	176.0	21.2	1.5	1.2	16.2	2.5	5.7	26.0	7.6	08-28
Innova-Champion Discs	Bullfrog	Putter	3.0	1.0	0.0	1.0	Yes	2018-11-04	175.1	21.1	1.8	1.3	19.0	1.0	6.2	67.75	8.16	18-74
Innova-Champion Discs	Caiman	Midrange	5.5	2.0	0.0	4.0	Yes	2018-02-26	175.1	21.1	1.7	1.4	18.3	1.4	6.6	66.5	11.68	18-27
Innova-Champion Discs	Cheetah	Midrange	6.0	4.0	-2.0	2.0	Yes	1995-10-10	175.1	21.1	1.9	1.2	17.9	1.6	5.7	28.25	10.54	95-04
Innova-Champion Discs	Cheetah (retooled)	Midrange	6.0	4.0	-2.0	2.0	Yes	1998-07-28	176.0	21.2	1.9	1.2	18.0	1.6	5.7	28.25	10.54	98-10
Innova-Champion Discs	Classic Roc	Putter	3.0	3.0	0.0	2.0	Yes	1994-01-01	176.0	21.2	2.0	1.2	19.4	0.9	5.7	42.75	8.96	94-11
Innova-Champion Discs	Cobra	Midrange	4.0	5.0	-2.0	2.0	Yes	1988-01-01	180.1	21.7	2.0	1.1	19.3	1.2	5.1	35.25	9.1	88-02
Innova-Champion Discs	Colossus	Distance	14.0	5.0	-2.0	3.0	Yes	2015-12-09	175.1	21.1	1.7	1.1	16.1	2.5	5.2	29.75	7.82	15-80
Innova-Champion Discs	Colt	Putter	3.0	4.0	-1.0	1.0	Yes	2015-05-28	176.0	21.2	1.8	1.3	19.0	1.1	6.1	59.75	7.48	15-52
Innova-Champion Discs	Corvette	Distance	14.0	6.0	-1.0	2.0	Yes	2018-12-16	175.1	21.1	1.8	1.2	16.3	2.3	5.7	26.75	11.68	18-83
Innova-Champion Discs	Coyote	Midrange	4.0	5.0	0.0	1.0	Yes	2005-06-07	180.1	21.7	1.9	1.3	19.4	1.2	6.0	47.25	5.56	05-09
Innova-Champion Discs	CRO	Midrange	5.0	3.0	0.0	2.0	Yes	2006-06-21	176.0	21.2	2.0	1.4	18.5	1.3	6.6	48.5	6.24	07-34
Innova-Champion Discs	Daedalus	Distance	13.0	6.0	-3.0	2.0	Yes	2014-02-17	175.1	21.1	1.5	1.2	16.4	2.3	5.7	26.25	8.05	14-09
Innova-Champion Discs	Dart	Putter	3.0	4.0	0.0	0.0	Yes	2009-02-18	176.0	21.2	2.2	1.4	18.8	1.2	6.6	38.0	5.1	09-05
Innova-Champion Discs	Destroyer	Distance	12.0	5.0	-1.0	3.0	Yes	2007-06-26	175.1	21.1	1.4	1.2	16.7	2.2	5.7	30.5	10.66	07-38
Innova-Champion Discs	Dominator	Distance	13.0	5.0	-1.0	2.0	Yes	2012-01-22	175.1	21.1	1.4	1.1	16.2	2.4	5.2	27.75	11.45	12-06
Innova-Champion Discs	Dragon	Fairway	8.0	5.0	-2.0	2.0	Yes	2001-03-24	174.3	21.0	1.9	1.2	17.4	1.8	5.7	32.0	6.12	01-01
Innova-Champion Discs	Eagle (new)	Fairway	7.0	4.0	-1.0	3.0	Yes	1999-03-12	176.0	21.2	1.6	1.2	17.8	1.7	5.7	29.5	7.82	99-04
Innova-Champion Discs	Firebird	Fairway	9.0	3.0	0.0	4.0	Yes	2000-03-21	175.1	21.1	1.4	1.2	17.3	1.9	5.7	26.75	9.75	00-06
Innova-Champion Discs	Firebird L (FL)	Fairway	9.0	3.0	0.0	4.0	Yes	2007-01-17	175.1	21.1	1.7	1.2	17.3	1.9	5.7	29.25	6.46	07-02
Innova-Champion Discs	Firestorm	Distance	14.0	4.0	0.0	3.0	Yes	2017-03-23	175.1	21.1	1.5	1.1	16.5	2.3	5.2	27.5	10.77	17-33
